date,time,customerId,location,plateId
11/17/24,9:02,1,alpine,5a
11/17/24,9:04,2,alpine,5a
11/17/24,9:07,3,alpine,5a
11/17/24,9:08,4,alpine,5b
11/17/24,9:09,5,alpine,5a
11/17/24,9:10,6,alpine,5b
11/17/24,9:11,7,alpine,5a
11/17/24,9:12,8,alpine,5a
11/17/24,9:12,9,alpine,5b
11/17/24,9:15,10,quad,1a
11/17/24,9:16,11,quad,1a
11/17/24,9:16,12,quad,1c
11/17/24,9:18,13,quad,1a
11/17/24,9:20,14,quad,1b
11/17/24,9:20,15,quad,1d
11/17/24,9:24,16,quad,1a
11/17/24,9:26,17,quad,1a
11/17/24,9:27,18,quad,1c
11/17/24,9:30,19,quad,1b
11/17/24,9:31,20,quad,1c
11/17/24,9:32,1,alpine,5a
11/17/24,9:33,21,sunchair,4a
11/17/24,9:33,2,alpine,5a
11/17/24,9:36,3,alpine,5a
11/17/24,9:36,22,park,2a
11/17/24,9:36,23,sunchair,4a
11/17/24,9:38,24,learningzone,C2a
11/17/24,9:39,25,learningzone,C2a
11/17/24,9:40,4,alpine,5b
11/17/24,9:42,5,alpine,5a
11/17/24,9:42,26,eastmeadow,6a
11/17/24,9:42,27,eastmeadow,6b
11/17/24,9:44,28,blueribbon,10a
11/17/24,9:44,29,blueribbon,10b
11/17/24,9:44,30,blueribbon,10c
11/17/24,9:45,6,alpine,5b
11/17/24,9:50,7,alpine,5a
11/17/24,9:52,8,alpine,5a
11/17/24,9:52,9,alpine,5b
11/17/24,9:55,10,quad,1a
11/17/24,9:56,11,quad,1a
11/17/24,9:56,12,quad,1c
11/17/24,9:58,13,quad,1a
11/17/24,9:59,14,quad,1b
11/17/24,10:00,15,quad,1d
11/17/24,10:04,16,quad,1a
11/17/24,10:05,17,quad,1a
11/17/24,10:06,18,quad,1c
11/17/24,10:06,19,quad,1b
11/17/24,10:07,20,quad,1c
11/17/24,10:07,21,sunchair,4a
11/17/24,10:07,22,park,2a
11/17/24,10:07,23,sunchair,4a
11/17/24,10:08,24,learningzone,C2a
11/17/24,10:09,25,learningzone,C2a
11/17/24,10:12,26,eastmeadow,6a
11/17/24,10:12,27,eastmeadow,6b
11/17/24,10:14,28,blueribbon,10a
11/17/24,10:14,29,blueribbon,10b
11/17/24,10:14,30,blueribbon,10c
11/17/24,10:00,5,alpine,5a
11/17/24,10:02,1,alpine,5a
11/17/24,10:02,2,alpine,5a
11/17/24,10:08,4,alpine,5b
11/17/24,10:15,6,alpine,5a
11/17/24,10:20,7,alpine,5b
11/17/24,10:22,8,alpine,5a
11/17/24,10:22,9,alpine,5a
11/17/24,10:25,10,alpine,5b
11/17/24,10:26,11,quad,1a
11/17/24,10:26,12,quad,1a
11/17/24,10:28,13,quad,1c
11/17/24,10:29,14,quad,1a
11/17/24,10:30,15,quad,1b
11/17/24,10:34,16,quad,1d
11/17/24,10:36,17,quad,1a
11/17/24,10:37,18,quad,1a
11/17/24,10:37,19,quad,1c
11/17/24,10:38,20,quad,1b
11/17/24,10:38,21,quad,1c
11/17/24,10:39,22,alpine,5a
11/17/24,10:39,23,sunchair,4a
11/17/24,10:40,24,alpine,5a
11/17/24,10:40,25,alpine,5a
11/17/24,10:42,27,park,2a
11/17/24,10:42,29,sunchair,4a
11/17/24,10:42,30,learningzone,C2a
11/17/24,10:42,1,learningzone,C2a
11/17/24,10:43,2,alpine,5b
11/17/24,10:48,4,alpine,5a
11/17/24,10:50,6,eastmeadow,6a
11/17/24,10:53,7,eastmeadow,6b
11/17/24,10:54,8,blueribbon,10a
11/17/24,10:54,9,blueribbon,10b
11/17/24,10:55,10,blueribbon,10c
11/17/24,10:56,11,alpine,5b
11/17/24,10:57,12,alpine,5a
11/17/24,10:58,13,alpine,5a
11/17/24,10:59,14,alpine,5b
11/17/24,11:00,15,quad,1a
11/17/24,11:01,16,quad,1a
11/17/24,11:02,18,quad,1c
11/17/24,11:03,19,quad,1a
11/17/24,11:04,20,quad,1b
11/17/24,11:05,21,quad,1d
11/17/24,11:06,22,quad,1a
11/17/24,11:08,24,quad,1a
11/17/24,11:08,25,quad,1c
11/17/24,11:09,27,quad,1b
11/17/24,11:09,29,quad,1c
11/17/24,11:09,30,sunchair,4a
11/17/24,11:02,1,park,2a
11/17/24,11:03,2,sunchair,4a
11/17/24,11:08,4,learningzone,C2a
11/17/24,11:18,6,learningzone,C2a
11/17/24,11:23,7,eastmeadow,6a
11/17/24,11:25,8,eastmeadow,6b
11/17/24,11:25,9,blueribbon,10a
11/17/24,11:26,11,blueribbon,10b
11/17/24,11:28,13,blueribbon,10c
11/17/24,11:29,14,alpine,5a
11/17/24,11:30,15,alpine,5a
11/17/24,11:34,16,alpine,5a
11/17/24,11:34,18,alpine,5b
11/17/24,11:35,19,alpine,5a
11/17/24,11:36,20,alpine,5b
11/17/24,11:37,21,alpine,5a
11/17/24,11:39,22,alpine,5a
11/17/24,11:40,24,alpine,5b
11/17/24,11:40,25,quad,1a
11/17/24,11:42,27,quad,1a
11/17/24,11:42,30,quad,1c
11/17/24,11:43,2,quad,1a
11/17/24,11:44,4,quad,1b
11/17/24,11:55,6,quad,1d
11/17/24,11:58,7,quad,1a
11/17/24,11:59,8,quad,1a
11/17/24,11:59,9,quad,1c
11/17/24,11:59,11,quad,1b
11/17/24,12:00,13,quad,1c
11/17/24,12:01,15,alpine,5a
11/17/24,12:03,19,sunchair,4a
11/17/24,12:05,20,alpine,5a
11/17/24,12:06,21,alpine,5a
11/17/24,12:08,24,park,2a
11/17/24,12:09,25,sunchair,4a
11/17/24,12:09,30,learningzone,C2a
11/17/24,12:04,2,learningzone,C2a
11/17/24,12:05,4,alpine,5b
11/17/24,12:15,6,alpine,5a
11/17/24,12:15,8,eastmeadow,6a
11/17/24,12:16,11,eastmeadow,6b
11/17/24,12:18,13,blueribbon,10a
11/17/24,12:32,15,blueribbon,10b
